Country_Name,MP,W-D-L,GF,GA,GD,PTS
"
        Netherlands
      ","
    3
  ","
    2-1-0
  ","
    5
  ","
    1
  ","
    4
  ","
    7
  "
"
        Senegal
      ","
    3
  ","
    2-0-1
  ","
    5
  ","
    4
  ","
    1
  ","
    6
  "
"
        Ecuador
      ","
    3
  ","
    1-1-1
  ","
    4
  ","
    3
  ","
    1
  ","
    4
  "
"
        Qatar
      ","
    3
  ","
    0-0-3
  ","
    1
  ","
    7
  ","
    -6
  ","
    0
  "
"
        England
      ","
    3
  ","
    2-1-0
  ","
    9
  ","
    2
  ","
    7
  ","
    7
  "
"
        United States
      ","
    3
  ","
    1-2-0
  ","
    2
  ","
    1
  ","
    1
  ","
    5
  "
"
        Iran
      ","
    3
  ","
    1-0-2
  ","
    4
  ","
    7
  ","
    -3
  ","
    3
  "
"
        Wales
      ","
    3
  ","
    0-1-2
  ","
    1
  ","
    6
  ","
    -5
  ","
    1
  "
"
        Argentina
      ","
    3
  ","
    2-0-1
  ","
    5
  ","
    2
  ","
    3
  ","
    6
  "
"
        Poland
      ","
    3
  ","
    1-1-1
  ","
    2
  ","
    2
  ","
    0
  ","
    4
  "
"
        Mexico
      ","
    3
  ","
    1-1-1
  ","
    2
  ","
    3
  ","
    -1
  ","
    4
  "
"
        Saudi Arabia
      ","
    3
  ","
    1-0-2
  ","
    3
  ","
    5
  ","
    -2
  ","
    3
  "
"
        France
      ","
    3
  ","
    2-0-1
  ","
    6
  ","
    3
  ","
    3
  ","
    6
  "
"
        Australia
      ","
    3
  ","
    2-0-1
  ","
    3
  ","
    4
  ","
    -1
  ","
    6
  "
"
        Tunisia
      ","
    3
  ","
    1-1-1
  ","
    1
  ","
    1
  ","
    0
  ","
    4
  "
"
        Denmark
      ","
    3
  ","
    0-1-2
  ","
    1
  ","
    3
  ","
    -2
  ","
    1
  "
"
        Japan
      ","
    3
  ","
    2-0-1
  ","
    4
  ","
    3
  ","
    1
  ","
    6
  "
"
        Spain
      ","
    3
  ","
    1-1-1
  ","
    9
  ","
    3
  ","
    6
  ","
    4
  "
"
        Germany
      ","
    3
  ","
    1-1-1
  ","
    6
  ","
    5
  ","
    1
  ","
    4
  "
"
        Costa Rica
      ","
    3
  ","
    1-0-2
  ","
    3
  ","
    11
  ","
    -8
  ","
    3
  "
"
        Morocco
      ","
    3
  ","
    2-1-0
  ","
    4
  ","
    1
  ","
    3
  ","
    7
  "
"
        Croatia
      ","
    3
  ","
    1-2-0
  ","
    4
  ","
    1
  ","
    3
  ","
    5
  "
"
        Belgium
      ","
    3
  ","
    1-1-1
  ","
    1
  ","
    2
  ","
    -1
  ","
    4
  "
"
        Canada
      ","
    3
  ","
    0-0-3
  ","
    2
  ","
    7
  ","
    -5
  ","
    0
  "
"
        Brazil
      ","
    3
  ","
    2-0-1
  ","
    3
  ","
    1
  ","
    2
  ","
    6
  "
"
        Switzerland
      ","
    3
  ","
    2-0-1
  ","
    4
  ","
    3
  ","
    1
  ","
    6
  "
"
        Cameroon
      ","
    3
  ","
    1-1-1
  ","
    4
  ","
    4
  ","
    0
  ","
    4
  "
"
        Serbia
      ","
    3
  ","
    0-1-2
  ","
    5
  ","
    8
  ","
    -3
  ","
    1
  "
"
        Portugal
      ","
    3
  ","
    2-0-1
  ","
    6
  ","
    4
  ","
    2
  ","
    6
  "
"
        South Korea
      ","
    3
  ","
    1-1-1
  ","
    4
  ","
    4
  ","
    0
  ","
    4
  "
"
        Uruguay
      ","
    3
  ","
    1-1-1
  ","
    2
  ","
    2
  ","
    0
  ","
    4
  "
"
        Ghana
      ","
    3
  ","
    1-0-2
  ","
    5
  ","
    7
  ","
    -2
  ","
    3
  "
